Channel Type	Logic
Cross Network	utm_campaign equals cross-network
Paid Search	Traffic is paid, and utm_source matches our list of search sources (e.g. google, bing, duckduckgo)
Paid Social	Traffic is paid, and utm_source matches our list of social sources (e.g. facebook, linkedin, twitter)
Paid Video	Traffic is paid, and utm_source matches our list of video sources (e.g. youtube, twitch, disneyplus)
Paid Shopping	Traffic is paid, and utm_source matches our list of shopping sources (e.g. amazon, etsy, ebay)
Paid Search	Traffic is paid, and referring_domain matches our list of search sources (e.g. google.com, bing.com, duckduckgo.com)
Paid Social	Traffic is paid, and referring_domain matches our list of social sources (e.g. facebook.com, linkedin.com, twitter.com)
Paid Video	Traffic is paid, and referring_domain matches our list of video sources (e.g. youtube.com, twitch.tv, disneyplus.com)
Paid Shopping	Traffic is paid, and referring_domain matches our list of shopping sources (e.g. amazon.com, etsy.com, ebay.co.uk)
Paid Shopping	Traffic is paid, and utm_campaign matches the regular expression ^(.*(([^a-df-z]|^)shop|shopping).*)$
Paid Social	Traffic is paid, and utm_medium matches our list of social mediums (e.g. sm, social-media, social-network)
Paid Video	Traffic is paid, and utm_medium matches our list of video mediums (e.g. video)
Display	Traffic is paid, and utm_medium matches our list of display mediums (e.g. display, interstitial, banner)
Paid Search	Traffic is paid, and gad_source equals 1
Paid Video	Traffic is paid, and utm_campaign matches the regular expression ^(.*video.*)$
Paid Unknown	Traffic is paid
Direct	Referring domain is the special value $direct, and utm_medium is not set, and utm_source is either empty or equal to direct or (direct)
Organic Search	utm_source matches our list of search sources (e.g. google, bing, duckduckgo)
Organic Social	utm_source matches our list of social sources (e.g. facebook, linkedin, twitter)
Organic Video	utm_source matches our list of video sources (e.g. youtube, twitch, disneyplus)
Organic Shopping	utm_source matches our list of shopping sources (e.g. amazon, etsy, ebay)
Email	utm_source matches our list of email sources (e.g. email, e_mail, e-mail)
SMS	utm_source matches our list of SMS sources (e.g. sms)
Push	utm_source matches our list of SMS sources (e.g. firebase)
Organic Search	referring_domain matches our list of search sources (e.g. google.com, bing.com, duckduckgo.com)
Organic Social	referring_domain matches our list of social sources (e.g. facebook.com, linkedin.com, twitter.com)
Organic Video	referring_domain matches our list of video sources (e.g. youtube.com, twitch.tv, disneyplus.com)
Organic Shopping	referring_domain matches our list of shopping sources (e.g. amazon.com, etsy.com, ebay.co.uk)
Organic Shopping	utm_campaign matches the regular expression ^(.*(([^a-df-z]|^)shop|shopping).*)$
Organic Social	utm_medium matches our list of social mediums (e.g. sm, social-media, social-network)
Organic Video	utm_medium matches our list of video mediums (e.g. video)
Affiliate	utm_medium matches our list of affiliate mediums (e.g. affiliate)
Referral	utm_medium matches our list of referral mediums (e.g. referral, link, app)
Email	utm_medium matches our list of email mediums (e.g. email, e_mail, e-mail)
Display	utm_medium matches our list of display mediums (e.g. display, cpm, interstitial, banner)
Audio	utm_medium matches our list of referral mediums (e.g. audio)
Push	utm_medium matches our list of referral mediums (e.g. push, notification, mobile)
Organic Video	utm_campaign matches the regular expression ^(.*video.*)$
Push	utm_medium ends with push
Unknown	No previous rule matched
